beta,total_loss,rec_loss,kl_loss,sigma-0_mean,sigma-0_std,sigma-1_mean,sigma-1_std,sigma-2_mean,sigma-2_std,sigma-3_mean,sigma-3_std,sigma-4_mean,sigma-4_std
0,0.48584487970219925,0.48584487970219925,0.0,4.8570555009064265e-06,5.546823558688629e-06,4.582972906064242e-06,5.319808678905247e-06,1.8585626094136387e-05,2.834797305695247e-05,5.673246050719172e-07,7.584506533930835e-07,6.60540592889447e-07,6.710349111926917e-07
1,8.0358662661165,3.9795968933030963,4.056269363500178,0.3376702666282654,0.01253106351941824,0.20394939184188843,0.00513036223128438,0.9996418952941895,0.0024201658088713884,0.9997016191482544,0.0022223989944905043,0.25363031029701233,0.006287052296102047
2,11.541607297956944,5.496732036583126,6.044875295832753,0.9994224309921265,0.0019353624666109681,0.9997490048408508,0.0025082670617848635,0.48380592465400696,0.008080292493104935,0.2828775644302368,0.007798969745635986,0.35648083686828613,0.008472689427435398
3,14.256713349372149,7.006447849795222,7.250265542417765,0.9996047616004944,0.001277517294511199,0.4372650980949402,0.008071261458098888,0.5831353068351746,0.010168527252972126,0.35184070467948914,0.007098689209669828,0.9995860457420349,0.0020707030780613422
4,16.463164884597063,8.561543522402644,7.901621391996741,0.40648502111434937,0.00615958496928215,0.999994695186615,0.0017823225352913141,0.5042293667793274,0.009405713528394699,0.6779366135597229,0.007524963468313217,0.9998177289962769,0.002076387871056795
5,18.32439213246107,10.049615822732449,8.27477634884417,0.7561402320861816,0.008429444395005703,0.4508662223815918,0.007166970521211624,0.9997491836547852,0.0012566614896059036,0.9994595646858215,0.0022999215871095657,0.5646219253540039,0.008799114264547825
6,19.724465936422348,11.493268584832549,8.231197316199541,0.493818074464798,0.005261708982288837,0.9996532201766968,0.0013722636504098773,0.8286888003349304,0.005043542943894863,0.6192308068275452,0.007280073594301939,0.9997934699058533,0.000797752698417753
7,21.214651130139828,13.948424249887466,7.266226928681135,0.9998157024383545,0.0007189257303252816,0.9998043775558472,0.0014575887471437454,0.5329417586326599,0.002860315376892686,0.6660102009773254,0.003330705687403679,0.999809741973877,0.0007024123333394527
8,22.08494796231389,14.920884303748608,7.1640636175870895,0.5690060257911682,0.008880769833922386,0.9999432563781738,0.001062441966496408,0.9999213218688965,0.0008926774025894701,0.7191497087478638,0.005737370811402798,0.9998462200164795,0.0010797608410939574
9,22.764693707227707,15.762757830321789,7.001935823820531,1.0001986026763916,0.0007221968262456357,0.9997954964637756,0.000611020834185183,0.6083757877349854,0.0018732160096988082,0.9997950196266174,0.0005679893656633794,0.7530369758605957,0.002556771272793412
10,23.71639747917652,16.907888147979975,6.808509366586804,0.7993386387825012,0.003750019473955035,0.6364802718162537,0.0037739991676062346,1.0000357627868652,0.0012391990749165416,0.9999501705169678,0.0014874782646074891,0.9997150897979736,0.0012419783743098378
11,24.384568966925144,17.928293593227863,6.456275323405862,0.9997379183769226,0.0010130839655175805,0.9996757507324219,0.0007930960855446756,0.8376901745796204,0.002214425476267934,0.6669204235076904,0.0008029660093598068,0.999803900718689,0.000557658146135509
12,24.82332966476679,18.920428462326527,5.902901191264391,0.9998827576637268,0.0005506082670763135,0.7001587152481079,0.010975407436490059,0.878929078578949,0.00471515255048871,0.9994695782661438,0.0008926803711801767,0.9999977946281433,0.000712413399014622
13,25.21046196296811,20.240491572767496,4.969970420002937,0.9531214237213135,0.0027954161632806063,0.7251639366149902,0.0021643529180437326,0.9977637529373169,0.000887093658093363,0.9960842728614807,0.0011246653739362955,0.988663375377655,0.001877340255305171
14,25.410304199904203,21.05241457372904,4.357889638282359,0.7608516216278076,0.0018454956589266658,0.9987030029296875,0.0016551469452679157,0.979948103427887,0.015912536531686783,0.9992890954017639,0.0018645403906702995,0.9851794242858887,0.003938598092645407
15,26.037697549909353,22.270230945199728,3.767466656398028,0.99976646900177,0.0005620424635708332,1.0000596046447754,0.0013125460827723145,0.9999722838401794,0.0005182549939490855,0.7785384654998779,0.0018862311262637377,0.9998760223388672,0.0009292483446188271
16,26.176985137164593,22.69820587709546,3.4787793210707605,0.8054341673851013,0.0015107026556506753,0.9998752474784851,0.0003758029197342694,0.9999082088470459,0.0003644316748250276,1.0000958442687988,0.0003767468733713031,1.0000197887420654,0.001281063538044691
17,26.50678463280201,23.318407133221626,3.1883774725720286,0.9999440908432007,0.0005797005724161863,0.9999191761016846,0.0005565884057432413,1.000057578086853,0.0008305723313242197,0.8290894031524658,0.002027885289862752,0.9996622800827026,0.0008739018812775612
18,26.61512467265129,23.81770235672593,2.797422398813069,0.9998757243156433,0.0006237034685909748,0.8556519150733948,0.0013295580865815282,1.0000866651535034,0.001033199718222022,0.9997746348381042,0.0006779312971048057,0.9997550845146179,0.0009305267012678087
19,26.68842425197363,24.14220403879881,2.546220255549997,0.9999261498451233,0.0007418053573928773,0.9995507597923279,0.001357816276140511,0.9999669790267944,0.0005952869541943073,0.8720779418945312,0.004488487262278795,0.9998406767845154,0.0007321946322917938
20,27.01986299827695,24.99591324478388,2.023949705529958,0.9997808337211609,0.0006127986707724631,0.9997965693473816,0.00074946996755898,0.9049908518791199,0.0020098539534956217,0.9995871782302856,0.0006263113464228809,0.9995808601379395,0.0008850015001371503
21,26.845011342316866,25.215172927826643,1.629838481778279,0.9997484087944031,0.0005379258072935045,0.9999120235443115,0.00041914169560186565,1.0002237558364868,0.0005975367384962738,0.9998341798782349,0.0006427764310501516,0.928072988986969,0.0014574367087334394
22,27.091836847364902,25.801526620984077,1.2903102425625548,1.0000064373016357,0.0011596297845244408,0.9404292106628418,0.002022545551881194,0.9998754858970642,0.0012251305161044002,0.9998177289962769,0.001055123284459114,0.9996799826622009,0.0025597326457500458
23,27.02277309074998,26.497718833386898,0.525054253579583,0.9803590774536133,0.002360741375014186,1.000179648399353,0.0010490993736311793,0.9995179772377014,0.0018672224832698703,0.9998819231987,0.0008941816631704569,0.9980529546737671,0.0014290924882516265
24,27.134514443576336,27.0352481007576,0.09926634840667248,1.0000280141830444,0.00037941208574920893,0.9999126195907593,0.0009344436111859977,0.9990686774253845,0.00112338422331959,0.9982805252075195,0.003490515286102891,0.9986811876296997,0.00071815523551777
25,27.102040987461805,27.07377342134714,0.028267527522984892,0.9993948340415955,0.0034293190110474825,1.0000979900360107,0.0019989993888884783,0.9998459815979004,0.0018820477416738868,0.9999516606330872,0.0012643795926123857,1.000057578086853,0.0017102727433666587
26,27.120078071951866,27.11652433872223,0.003553723101504147,0.9999224543571472,0.0006954755517654121,1.000051736831665,0.0008752354769967496,0.9998144507408142,0.0011815913021564484,0.9999893307685852,0.000501330301631242,1.000022053718567,0.00038751872489228845
27,27.102413456887007,27.10014796257019,0.002265519986394793,1.0000524520874023,0.001575004542246461,1.0000331401824951,0.0021136861760169268,1.000012993812561,0.0015008330810815096,1.0000122785568237,0.0003434276732150465,1.0000126361846924,0.0006303934496827424
28,27.129107121378183,27.127595514059067,0.0015116024296730757,0.9999968409538269,0.00019130930013488978,0.9997500777244568,0.002467889804393053,0.9999916553497314,0.00012395562953315675,0.999981701374054,0.00015888040070421994,1.0000121593475342,0.0003048427461180836
29,27.11998163536191,27.119376838207245,0.0006048385985195637,0.999948263168335,0.0011452073231339455,1.0000053644180298,0.0007438976899720728,0.999986469745636,0.0007071225554682314,1.0000110864639282,0.0006961235194467008,0.9999715089797974,0.00078345718793571
30,27.11661559715867,27.115277748554945,0.0013378635048866272,0.9999793171882629,0.0005921776173636317,1.00001859664917,0.00032402860233560205,1.0000007152557373,0.0005225192289799452,0.9999793171882629,0.00041381700430065393,0.9999778866767883,0.0005183846806176007
